plot,Time,Temperature
A01,31/10/2021 15:31,7.5
A01,31/10/2021 19:31,5.5
A01,31/10/2021 23:31,4.5
A01,01/11/2021 3:31,3.5
A01,01/11/2021 7:31,2.5
A01,01/11/2021 11:31,4.5
A01,01/11/2021 15:31,6.5
A01,01/11/2021 19:31,3
A01,01/11/2021 23:31,2
A01,02/11/2021 3:31,2
A01,02/11/2021 7:31,2
A01,02/11/2021 11:31,2.5
A01,02/11/2021 15:31,3.5
A01,02/11/2021 19:31,1.5
A01,02/11/2021 23:31,1.5
A01,03/11/2021 3:31,1
A01,03/11/2021 7:31,1
A01,03/11/2021 11:31,1
A01,03/11/2021 15:31,1.5
A01,03/11/2021 19:31,1.5
A01,03/11/2021 23:31,1.5
A01,04/11/2021 3:31,1.5
A01,04/11/2021 7:31,1.5
A01,04/11/2021 11:31,1.5
A01,04/11/2021 15:31,2
A01,04/11/2021 19:31,2
A01,04/11/2021 23:31,1.5
A01,05/11/2021 3:31,1.5
A01,05/11/2021 7:31,1.5
A01,05/11/2021 11:31,1.5
A01,05/11/2021 15:31,2
A01,05/11/2021 19:31,2
A01,05/11/2021 23:31,1.5
A01,06/11/2021 3:31,1.5
A01,06/11/2021 7:31,1.5
A01,06/11/2021 11:31,1.5
A01,06/11/2021 15:31,2
A01,06/11/2021 19:31,1.5
A01,06/11/2021 23:31,0.5
A01,07/11/2021 3:31,0.5
A01,07/11/2021 7:31,0.5
A01,07/11/2021 11:31,1
A01,07/11/2021 15:31,4
A01,07/11/2021 19:31,3
A01,07/11/2021 23:31,2.5
A01,08/11/2021 3:31,2.5
A01,08/11/2021 7:31,2.5
A01,08/11/2021 11:31,8
A01,08/11/2021 15:31,11
A01,08/11/2021 19:31,6.5
A01,08/11/2021 23:31,4
A01,09/11/2021 3:31,2.5
A01,09/11/2021 7:31,2.5
A01,09/11/2021 11:31,9
A01,09/11/2021 15:31,12.5
A01,09/11/2021 19:31,7
A01,09/11/2021 23:31,4.5
A01,10/11/2021 3:31,3.5
A01,10/11/2021 7:31,3
A01,10/11/2021 11:31,10
A01,10/11/2021 15:31,14
A01,10/11/2021 19:31,8
A01,10/11/2021 23:31,5
A01,11/11/2021 3:31,3.5
A01,11/11/2021 7:31,2.5
A01,11/11/2021 11:31,10.5
A01,11/11/2021 15:31,14.5
A01,11/11/2021 19:31,9
A01,11/11/2021 23:31,6.5
A01,12/11/2021 3:31,5
A01,12/11/2021 7:31,4
A01,12/11/2021 11:31,11.5
A01,12/11/2021 15:31,15
A01,12/11/2021 19:31,9.5
A01,12/11/2021 23:31,6
A01,13/11/2021 3:31,5
A01,13/11/2021 7:31,4.5
A01,13/11/2021 11:31,12
A01,13/11/2021 15:31,13
A01,13/11/2021 19:31,8
A01,13/11/2021 23:31,6
A01,14/11/2021 3:31,4.5
A01,14/11/2021 7:31,4
A01,14/11/2021 11:31,11
A01,14/11/2021 15:31,14
A01,14/11/2021 19:31,8
A01,14/11/2021 23:31,5.5
A01,15/11/2021 3:31,4
A01,15/11/2021 7:31,3.5
A01,15/11/2021 11:31,4.5
A01,15/11/2021 15:31,9
A01,15/11/2021 19:31,5.5
A01,15/11/2021 23:31,3.5
A01,16/11/2021 3:31,2
A01,16/11/2021 7:31,1.5
A01,16/11/2021 11:31,4
A01,16/11/2021 15:31,10
A01,16/11/2021 19:31,5.5
A01,16/11/2021 23:31,3
A01,17/11/2021 3:31,2
A01,17/11/2021 7:31,1
A01,17/11/2021 11:31,6
A01,17/11/2021 15:31,9.5
A01,17/11/2021 19:31,4.5
A01,17/11/2021 23:31,2
A01,18/11/2021 3:31,1.5
A01,18/11/2021 7:31,1
A01,18/11/2021 11:31,8.5
A01,18/11/2021 15:31,11
A01,18/11/2021 19:31,5.5
A01,18/11/2021 23:31,3.5
A01,19/11/2021 3:31,2.5
A01,19/11/2021 7:31,2
A01,19/11/2021 11:31,8
A01,19/11/2021 15:31,10
A01,19/11/2021 19:31,5
A01,19/11/2021 23:31,3
A01,20/11/2021 3:31,2
A01,20/11/2021 7:31,2
A01,20/11/2021 11:31,8
A01,20/11/2021 15:31,11.5
A01,20/11/2021 19:31,7
A01,20/11/2021 23:31,4.5
A01,21/11/2021 3:31,3
A01,21/11/2021 7:31,2
A01,21/11/2021 11:31,8.5
A01,21/11/2021 15:31,10.5
A01,21/11/2021 19:31,6
A01,21/11/2021 23:31,4
A01,22/11/2021 3:31,2
A01,22/11/2021 7:31,1.5
A01,22/11/2021 11:31,1
A01,22/11/2021 15:31,1.5
A01,22/11/2021 19:31,1.5
A01,22/11/2021 23:31,1.5
A01,23/11/2021 3:31,1.5
A01,23/11/2021 7:31,1.5
A01,23/11/2021 11:31,1.5
A01,23/11/2021 15:31,1.5
A01,23/11/2021 19:31,1.5
A01,23/11/2021 23:31,1.5
A01,24/11/2021 3:31,1
A01,24/11/2021 7:31,1
A01,24/11/2021 11:31,1
A01,24/11/2021 15:31,1.5
A01,24/11/2021 19:31,1.5
A01,24/11/2021 23:31,1.5
A01,25/11/2021 3:31,1.5
A01,25/11/2021 7:31,1
A01,25/11/2021 11:31,1
A01,25/11/2021 15:31,1.5
