species;treatment;temp;petri;sow_date;initial;cold_strat;D7;D14;D21;D28;D35;D42;empty;fungus
Euphrasia salisburgensis;D_constant_light;10;3;13/04/2023;25;0;0;0;0;0;0;0;1;0
Euphrasia salisburgensis;D_constant_light;10;4;13/04/2023;25;0;0;0;0;0;0;0;0;0
Festuca glacialis;A_alternate_light;22_12;1;11/04/2023;25;0;0;15;4;2;1;1;0;0
Festuca glacialis;A_alternate_light;22_12;2;11/04/2023;25;0;0;13;3;4;2;1;0;0
Festuca glacialis;A_alternate_light;22_12;3;11/04/2023;25;0;0;15;0;5;1;0;1;0
Festuca glacialis;A_alternate_light;22_12;4;11/04/2023;25;0;2;21;1;0;0;0;0;1
Festuca glacialis;B_alternate_dark;22_12;1;11/04/2023;25;;;;;;;25;0;0
Festuca glacialis;B_alternate_dark;22_12;2;11/04/2023;25;;;;;;;25;0;0
Festuca glacialis;B_alternate_dark;22_12;3;11/04/2023;25;;;;;;;25;0;0
Festuca glacialis;B_alternate_dark;22_12;4;11/04/2023;25;;;;;;;24;1;0
Festuca glacialis;C_alternate_WP;22_12;1;11/04/2023;25;0;0;0;0;0;0;0;0;2
Festuca glacialis;C_alternate_WP;22_12;2;11/04/2023;25;0;0;0;0;0;0;0;1;1
Festuca glacialis;C_alternate_WP;22_12;3;11/04/2023;25;0;0;0;0;0;0;0;1;3
Festuca glacialis;C_alternate_WP;22_12;4;11/04/2023;25;0;0;0;0;0;0;0;1;16
Festuca glacialis;D_constant_light;17;1;11/04/2023;23;0;2;19;2;;;;0;0
Festuca glacialis;D_constant_light;17;2;11/04/2023;25;0;7;13;4;0;0;0;1;0
Festuca glacialis;D_constant_light;17;3;11/04/2023;25;0;6;18;1;;;;0;0
Festuca glacialis;D_constant_light;17;4;11/04/2023;25;0;3;18;1;1;1;0;0;0
Festuca rubra;A_alternate_light;22_12;1;13/04/2023;23;0;7;14;0;0;0;0;0;0
Festuca rubra;A_alternate_light;22_12;2;13/04/2023;23;0;12;9;0;0;0;0;0;0
Festuca rubra;B_alternate_dark;22_12;1;13/04/2023;25;;;;;;;22;2;0
Festuca rubra;B_alternate_dark;22_12;2;13/04/2023;25;;;;;;;20;4;0
Festuca rubra;C_alternate_WP;22_12;1;13/04/2023;24;0;0;0;0;0;0;0;0;0
Festuca rubra;C_alternate_WP;22_12;2;13/04/2023;25;0;0;0;0;0;0;0;0;2
Festuca rubra;D_constant_light;17;1;13/04/2023;24;0;22;1;0;0;0;0;0;0
Festuca rubra;D_constant_light;17;2;13/04/2023;21;0;19;1;0;0;0;0;0;0
Festuca summilusitana;A_alternate_light;22_12;1;11/04/2023;25;15;0;0;0;0;0;0;4;6
Festuca summilusitana;A_alternate_light;22_12;2;11/04/2023;23;10;0;0;0;0;0;0;4;5
Festuca summilusitana;A_alternate_light;22_12;3;11/04/2023;25;16;1;0;0;1;0;0;2;4
Festuca summilusitana;A_alternate_light;22_12;4;11/04/2023;24;14;1;0;0;0;1;0;4;2
Festuca summilusitana;B_alternate_dark;22_12;1;11/04/2023;25;;;;;;;13;5;3
